Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3351000000,3530000000,4603000000,3917000000
minorityInterest,,,,
netIncome,3024000000,3064000000,3468000000,2888000000
sellingGeneralAdministrative,19169000000,17212000000,13519000000,12965000000
grossProfit,45546000000,40783000000,26477000000,24956000000
ebit,9994000000,9420000000,6342000000,5505000000
operatingIncome,9994000000,9420000000,6342000000,5505000000
otherOperatingExpenses,,,,
interestExpense,-3362000000,-2730000000,-1135000000,-1357000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,327000000,786000000,1135000000,1029000000
totalRevenue,80118000000,68397000000,44998000000,43310000000
totalOperatingExpenses,70124000000,58977000000,38656000000,37805000000
costOfRevenue,34572000000,27614000000,18521000000,18354000000
totalOtherIncomeExpenseNet,-6643000000,-5890000000,-1739000000,-1588000000
discontinuedOperations,,320000000.0,320000000.0,320000000.0
netIncomeFromContinuingOps,3024000000,2744000000,3468000000,2888000000
netIncomeApplicableToCommonShares,3024000000,3064000000,3468000000,2888000000
