Breakdown,2021-12-31,2021-01-01,2020-01-03,2018-12-28
researchDevelopment,536600000,475900000,469700000,446100000
effectOfAccountingCharges,,,,
incomeBeforeTax,574600000,395000000,344800000,278000000
minorityInterest,,1700000.0,1400000.0,400000.0
netIncome,492700000,389900000,514300000,282800000
sellingGeneralAdministrative,854100000,748200000,814300000,792700000
grossProfit,2122600000,1850100000,1876100000,1786900000
ebit,593300000,468200000,424300000,368500000
operatingIncome,593300000,468200000,424300000,368500000
otherOperatingExpenses,,,,
interestExpense,-65400000,-77600000,-82400000,-73200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,81800000,4400000,-169700000,-5300000
totalRevenue,3659100000,3147700000,3264300000,3108400000
totalOperatingExpenses,3065800000,2679500000,2840000000,2739900000
costOfRevenue,1536500000,1297600000,1388200000,1321500000
totalOtherIncomeExpenseNet,-18700000,-73200000,-79500000,-90500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,492800000,390600000,514500000,283300000
netIncomeApplicableToCommonShares,492700000,389900000,514300000,282800000
