Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3994600000,3242200000,2927300000,2384600000
minorityInterest,1231000000,1561700000,1121000000,740300000
netIncome,3082900000,2372700000,2131300000,1837500000
sellingGeneralAdministrative,936800000,844600000,846000000,779500000
grossProfit,4678700000,3590300000,3233000000,3125700000
ebit,3741900000,2745700000,2387000000,2346200000
operatingIncome,3741900000,2745700000,2387000000,2346200000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,896100000,718900000,678400000,615900000
totalRevenue,7671900000,6206700000,5617900000,5372600000
totalOperatingExpenses,3930000000,3461000000,3230900000,3026400000
costOfRevenue,2993200000,2616400000,2384900000,2246900000
totalOtherIncomeExpenseNet,252700000,496500000,540300000,38400000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3098500000,2523300000,2248900000,1768700000
netIncomeApplicableToCommonShares,3002400000,2307400000,2076000000,1793900000
