Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4458000000,3237000000,3138000000,2961000000
minorityInterest,,,,
netIncome,3662000000,2697000000,2622000000,2523000000
sellingGeneralAdministrative,4677000000,4509000000,4365000000,4297000000
grossProfit,9475000000,8085000000,7847000000,7610000000
ebit,4798000000,3576000000,3482000000,3313000000
operatingIncome,4798000000,3576000000,3482000000,3313000000
otherOperatingExpenses,,,,
interestExpense,-340000000,-339000000,-344000000,-352000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,796000000,540000000,516000000,438000000
totalRevenue,34816000000,31981000000,31581000000,30282000000
totalOperatingExpenses,30018000000,28405000000,28099000000,26969000000
costOfRevenue,25341000000,23896000000,23734000000,22672000000
totalOtherIncomeExpenseNet,-340000000,-339000000,-344000000,-352000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3662000000,2697000000,2622000000,2523000000
netIncomeApplicableToCommonShares,3635000000,2678000000,2603000000,2504000000
