Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,2593000000,1491000000,1343000000,1460000000
effectOfAccountingCharges,,,,
incomeBeforeTax,6343000000,1154000000,-665000000,-1005000000
minorityInterest,1394000000,1454000000,1492000000,1390000000
netIncome,5519000000,721000000,-862000000,-976000000
sellingGeneralAdministrative,4517000000,3188000000,2646000000,2835000000
grossProfit,13606000000,6630000000,4069000000,4042000000
ebit,6523000000,1951000000,80000000,-253000000
operatingIncome,6523000000,1951000000,80000000,-253000000
otherOperatingExpenses,-27000000,-27000000,-27000000,-27000000
interestExpense,-358000000,-784000000,-725000000,-653000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,699000000,292000000,110000000,58000000
totalRevenue,53823000000,31536000000,24578000000,21461000000
totalOperatingExpenses,47300000000,29585000000,24498000000,21714000000
costOfRevenue,40217000000,24906000000,20509000000,17419000000
totalOtherIncomeExpenseNet,-180000000,-797000000,-745000000,-752000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5644000000,862000000,-775000000,-1063000000
netIncomeApplicableToCommonShares,5524000000,690000000,-870000000,-976000000
