Breakdown,2021-10-02,2020-10-03,2019-09-28,2018-09-29
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4041000000,2664000000,2374000000,2682000000
minorityInterest,131000000,132000000,144000000,8000000
netIncome,3047000000,2061000000,1980000000,2970000000
sellingGeneralAdministrative,2106000000,2167000000,2208000000,2045000000
grossProfit,6861000000,5901000000,5063000000,5197000000
ebit,4755000000,3734000000,2855000000,3152000000
operatingIncome,4755000000,3734000000,2855000000,3152000000
otherOperatingExpenses,,,,
interestExpense,-428000000,-485000000,-462000000,-350000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,981000000,593000000,381000000,-291000000
totalRevenue,47049000000,43185000000,42405000000,40052000000
totalOperatingExpenses,42294000000,39451000000,39550000000,36900000000
costOfRevenue,40188000000,37284000000,37342000000,34855000000
totalOtherIncomeExpenseNet,-714000000,-1070000000,-481000000,-470000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3060000000,2071000000,1993000000,2973000000
netIncomeApplicableToCommonShares,3047000000,2061000000,1980000000,2970000000
