Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1790700000,1288200000,1398900000,1257800000
minorityInterest,17200000,19400000,44800000,42100000
netIncome,1423400000,854900000,1410900000,1337600000
sellingGeneralAdministrative,2430900000,2233700000,2339900000,2252000000
grossProfit,4477100000,3827500000,4027700000,3786500000
ebit,2046200000,1593800000,1687800000,1534500000
operatingIncome,2046200000,1593800000,1687800000,1534500000
otherOperatingExpenses,,,,
interestExpense,-233700000,-248700000,-242800000,-221000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,333500000,296800000,238600000,234900000
totalRevenue,14136400000,12454700000,13075900000,12343800000
totalOperatingExpenses,12090200000,10860900000,11388100000,10809300000
costOfRevenue,9659300000,8627200000,9048200000,8557300000
totalOtherIncomeExpenseNet,-255500000,-305600000,-288900000,-276700000
discontinuedOperations,-20600000,-122300000,265800000,329800000
netIncomeFromContinuingOps,1457200000,991400000,1160300000,1022900000
netIncomeApplicableToCommonShares,1423400000,854900000,1410900000,1337600000
