Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1554000000,1530000000,1544000000,1559000000
effectOfAccountingCharges,,,,
incomeBeforeTax,8919000000,6017000000,5728000000,6686000000
minorityInterest,,,,
netIncome,7769000000,5595000000,5017000000,5580000000
sellingGeneralAdministrative,1658000000,1616000000,1650000000,1716000000
grossProfit,12376000000,9269000000,9164000000,10277000000
ebit,9022000000,5925000000,5682000000,6684000000
operatingIncome,9022000000,5925000000,5682000000,6684000000
otherOperatingExpenses,,,,
interestExpense,-184000000,-190000000,-170000000,-125000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1150000000,422000000,711000000,1106000000
totalRevenue,18344000000,14461000000,14383000000,15784000000
totalOperatingExpenses,9322000000,8536000000,8701000000,9100000000
costOfRevenue,5968000000,5192000000,5219000000,5507000000
totalOtherIncomeExpenseNet,-103000000,92000000,46000000,2000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7769000000,5595000000,5017000000,5580000000
netIncomeApplicableToCommonShares,7736000000,5568000000,4985000000,5537000000
