Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,26947000000,-2856000000,18468000000,24873000000
minorityInterest,17523000000,17567000000,17713000000,9795000000
netIncome,20081000000,-5176000000,13903000000,19370000000
sellingGeneralAdministrative,29290000000,37668000000,41094000000,31289000000
grossProfit,89057000000,91840000000,97052000000,91337000000
ebit,36905000000,25656000000,27741000000,31618000000
operatingIncome,36905000000,25656000000,27741000000,31618000000
otherOperatingExpenses,,,,
interestExpense,-6884000000,-7925000000,-8422000000,-7957000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5468000000,965000000,3493000000,4920000000
totalRevenue,168864000000,171760000000,181193000000,170756000000
totalOperatingExpenses,131959000000,146104000000,153452000000,139138000000
costOfRevenue,79807000000,79920000000,84141000000,79419000000
totalOtherIncomeExpenseNet,-9958000000,-28512000000,-9273000000,-6745000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,21479000000,-3821000000,14975000000,19953000000
netIncomeApplicableToCommonShares,19874000000,-5369000000,13900000000,19370000000
