Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,392132000,-499790000,162163000,-66854000
minorityInterest,,,,
netIncome,360060000,-549177000,92139000,-46302000
sellingGeneralAdministrative,2335191000,2173934000,2227663000,2176239000
grossProfit,2862014000,2172471000,2470533000,2361271000
ebit,524823000,-8463000,236770000,178932000
operatingIncome,524823000,-8463000,236770000,178932000
otherOperatingExpenses,,,,
interestExpense,-44300000,-47259000,-21240000,-33568000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,32072000,49387000,70024000,-20552000
totalRevenue,5683466000,4474667000,5267132000,5193185000
totalOperatingExpenses,5158643000,4483130000,5030362000,5014253000
costOfRevenue,2821452000,2302196000,2796599000,2831914000
totalOtherIncomeExpenseNet,-132691000,-491327000,-74607000,-245786000
discontinuedOperations,,,,
netIncomeFromContinuingOps,360060000,-549177000,92139000,-46302000
netIncomeApplicableToCommonShares,360060000,-549177000,92139000,-46302000
