Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-2557000000,-8822000000,3914000000,2648000000
minorityInterest,,,,
netIncome,-1964000000,-7069000000,3009000000,2122000000
sellingGeneralAdministrative,776000000,546000000,1863000000,1769000000
grossProfit,3265000000,-2471000000,14782000000,13194000000
ebit,-4330000000,-8904000000,4568000000,3670000000
operatingIncome,-4330000000,-8904000000,4568000000,3670000000
otherOperatingExpenses,4334000000,3399000000,6063000000,5590000000
interestExpense,-1577000000,-992000000,-646000000,-605000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-593000000,-1753000000,905000000,526000000
totalRevenue,24634000000,15355000000,43259000000,41303000000
totalOperatingExpenses,28964000000,24259000000,38691000000,37633000000
costOfRevenue,21369000000,17826000000,28477000000,28109000000
totalOtherIncomeExpenseNet,1773000000,82000000,-654000000,-1022000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1964000000,-7069000000,3009000000,2122000000
netIncomeApplicableToCommonShares,-1964000000,-7069000000,3009000000,2122000000
