Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1293313000,1252083000,1066337000,1034525000
minorityInterest,108508000,89390000,79099000,80823000
netIncome,991590000,943953000,814854000,779705000
sellingGeneralAdministrative,118863000,116059000,107809000,106094000
grossProfit,5051039000,4657668000,4538020000,4349088000
ebit,1394316000,1359354000,1313539000,1228572000
operatingIncome,1394316000,1359354000,1313539000,1228572000
otherOperatingExpenses,3004647000,2671762000,2626280000,2561377000
interestExpense,-85268000,-109089000,-162733000,-156487000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,305681000,299293000,238794000,236642000
totalRevenue,12642117000,11558897000,11378259000,10772278000
totalOperatingExpenses,11247801000,10199543000,10064720000,9543706000
costOfRevenue,7591078000,6901229000,6840239000,6423190000
totalOtherIncomeExpenseNet,-101003000,-107271000,-247202000,-194047000
discontinuedOperations,,,,
netIncomeFromContinuingOps,987632000,952790000,827543000,797883000
netIncomeApplicableToCommonShares,989531000,940972000,812826000,778614000
