Breakdown,2022-01-29,2021-01-30,2020-02-01,2019-02-02
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1295829000,231085000,906150000,859141000
minorityInterest,,,,
netIncome,985837000,175835000,705945000,658559000
sellingGeneralAdministrative,2454543000,2020722000,2126865000,1535464000
grossProfit,3757531000,2334459000,3047213000,2409311000
ebit,1293471000,298737000,901094000,854080000
operatingIncome,1293471000,298737000,901094000,854080000
otherOperatingExpenses,,,,
interestExpense,-1663000,-5735000,-5735000,-5735000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,309992000,55250000,200205000,200582000
totalRevenue,8630889000,6151953000,7398068000,6716615000
totalOperatingExpenses,7337418000,5853216000,6496974000,5862535000
costOfRevenue,4873358000,3817494000,4350855000,4307304000
totalOtherIncomeExpenseNet,2358000,-67652000,5056000,5061000
discontinuedOperations,,,,
netIncomeFromContinuingOps,985837000,175835000,705945000,658559000
netIncomeApplicableToCommonShares,985837000,175835000,705945000,658559000
