Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,22310000000,20742000000,17981000000,15944000000
minorityInterest,4719000000,5048000000,4546000000,4531000000
netIncome,17285000000,15403000000,13839000000,11986000000
sellingGeneralAdministrative,42579000000,41704000000,35193000000,34074000000
grossProfit,69652000000,67000000000,57598000000,53846000000
ebit,23970000000,22405000000,19685000000,17344000000
operatingIncome,23970000000,22405000000,19685000000,17344000000
otherOperatingExpenses,,,,
interestExpense,-1660000000,-1663000000,-1704000000,-1400000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4578000000,4973000000,3742000000,3562000000
totalRevenue,287597000000,257141000000,242155000000,226247000000
totalOperatingExpenses,263627000000,234736000000,222470000000,208903000000
costOfRevenue,217945000000,190141000000,184557000000,172401000000
totalOtherIncomeExpenseNet,-1660000000,-1663000000,-1704000000,-1400000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,17732000000,15769000000,14239000000,12382000000
netIncomeApplicableToCommonShares,17285000000,15403000000,13839000000,11986000000
