Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8478000000,6980000000,7747000000,7741000000
minorityInterest,,,,
netIncome,6523000000,5349000000,5919000000,5966000000
sellingGeneralAdministrative,,,,-13000000.0
grossProfit,12747000000,11430000000,11876000000,11743000000
ebit,9363000000,7875000000,8600000000,8530000000
operatingIncome,9363000000,7875000000,8600000000,8530000000
otherOperatingExpenses,1176000000,1345000000,1060000000,1022000000
interestExpense,-1157000000,-1141000000,-1050000000,-870000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1955000000,1631000000,1828000000,1775000000
totalRevenue,21804000000,19533000000,21708000000,22832000000
totalOperatingExpenses,12441000000,11658000000,13108000000,14302000000
costOfRevenue,9057000000,8103000000,9832000000,11089000000
totalOtherIncomeExpenseNet,-885000000,-895000000,-853000000,-789000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6523000000,5349000000,5919000000,5966000000
netIncomeApplicableToCommonShares,6523000000,5349000000,5919000000,5966000000
