Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,16595000000,1844000000,5652000000,6019000000
minorityInterest,16000000,12000000,16000000,16000000
netIncome,12890000000,1343000000,4440000000,4791000000
sellingGeneralAdministrative,,,,1362000000.0
grossProfit,26867000000,11490000000,13629000000,13130000000
ebit,16268000000,2096000000,5447000000,5458000000
operatingIncome,16268000000,2096000000,5447000000,5458000000
otherOperatingExpenses,7646000000,6696000000,5822000000,5465000000
interestExpense,-694000000,-701000000,-653000000,-605000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3705000000,501000000,1212000000,1228000000
totalRevenue,97287000000,84628000000,74094000000,71861000000
totalOperatingExpenses,81019000000,82532000000,68647000000,66403000000
costOfRevenue,70420000000,73138000000,60465000000,58731000000
totalOtherIncomeExpenseNet,327000000,-252000000,205000000,561000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,12890000000,1343000000,4440000000,4791000000
netIncomeApplicableToCommonShares,12890000000,1343000000,4440000000,4791000000
