Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1846000000,1139000000,1514000000,1476000000
minorityInterest,,,,
netIncome,1386000000,890000000,1174000000,1096000000
sellingGeneralAdministrative,1199000000,979000000,1092000000,1038000000
grossProfit,3890000000,3232000000,3745000000,3430000000
ebit,2319000000,1896000000,2246000000,2084000000
operatingIncome,2319000000,1896000000,2246000000,2084000000
otherOperatingExpenses,,,,
interestExpense,-394000000,-486000000,-648000000,-481000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,460000000,249000000,340000000,380000000
totalRevenue,9716000000,8530000000,9351000000,8047000000
totalOperatingExpenses,7397000000,6634000000,7105000000,5963000000
costOfRevenue,5826000000,5298000000,5606000000,4617000000
totalOtherIncomeExpenseNet,-473000000,-757000000,-732000000,-608000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1386000000,890000000,1174000000,1096000000
netIncomeApplicableToCommonShares,1386000000,890000000,1174000000,1096000000
