Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10166000000,6051000000,8594000000,8678000000
minorityInterest,469000000,630000000,630000000,628000000
netIncome,7963000000,4959000000,6914000000,7096000000
sellingGeneralAdministrative,12362000000,11360000000,10999000000,10594000000
grossProfit,23762000000,19242000000,21140000000,20813000000
ebit,0,0,0,0
operatingIncome,10325000000,6227000000,8762000000,8839000000
otherOperatingExpenses,1075000000,1655000000,1379000000,1380000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2181000000,1066000000,1648000000,1554000000
totalRevenue,23762000000,19242000000,21140000000,20813000000
totalOperatingExpenses,13437000000,13015000000,12378000000,11974000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-159000000,-176000000,-168000000,-161000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7985000000,4985000000,6946000000,7124000000
netIncomeApplicableToCommonShares,7605000000,4621000000,6583000000,6784000000
