Breakdown,2022-04-02,2021-04-03,2020-03-28,2019-03-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1523250000,456472000,727208000,1038313000
minorityInterest,,,,
netIncome,1386941000,407869000,679449000,1259792000
sellingGeneralAdministrative,4776981000,4201401000,4529120000,4376858000
grossProfit,6457147000,4911950000,5817436000,5625161000
ebit,1680166000,710549000,1288316000,1248303000
operatingIncome,1680166000,710549000,1288316000,1248303000
otherOperatingExpenses,,,,
interestExpense,-136469000,-135655000,-92042000,-107738000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,306981000,101566000,98062000,167887000
totalRevenue,11841840000,9238830000,10488556000,10266887000
totalOperatingExpenses,10161674000,8528281000,9200240000,9018584000
costOfRevenue,5384693000,4326880000,4671120000,4641726000
totalOtherIncomeExpenseNet,-156916000,-254077000,-561108000,-209990000
discontinuedOperations,170672000,52963000,50303000,389366000
netIncomeFromContinuingOps,1216269000,354906000,629146000,870426000
netIncomeApplicableToCommonShares,1386941000,407869000,679449000,1259792000
