Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1543000000,-2010000000,3486000000,4232000000
minorityInterest,1387000000,841000000,733000000,1064000000
netIncome,930000000,-1421000000,2422000000,3122000000
sellingGeneralAdministrative,808000000,719000000,821000000,897000000
grossProfit,5487000000,1266000000,6531000000,7611000000
ebit,2235000000,-1512000000,3883000000,4600000000
operatingIncome,2235000000,-1512000000,3883000000,4600000000
otherOperatingExpenses,87000000,-262000000,-428000000,45000000
interestExpense,-603000000,-563000000,-454000000,-470000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,255000000,-903000000,702000000,879000000
totalRevenue,108332000000,60115000000,102729000000,111407000000
totalOperatingExpenses,106097000000,61627000000,98846000000,106807000000
costOfRevenue,102845000000,58849000000,96198000000,103796000000
totalOtherIncomeExpenseNet,-692000000,-498000000,-397000000,-368000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1288000000,-1107000000,2784000000,3353000000
netIncomeApplicableToCommonShares,924000000,-1426000000,2415000000,3113000000
