Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,654600000,507900000,518800000,586300000
effectOfAccountingCharges,,,,
incomeBeforeTax,-664400000,-721200000,154400000,298400000
minorityInterest,,,,
netIncome,-1269100000,-669900000,16800000,352500000
sellingGeneralAdministrative,4128200000,3300000000,2503400000,2397300000
grossProfit,7749900000,4572300000,4444200000,4572000000
ebit,2967100000,764400000,1422000000,1588400000
operatingIncome,2967100000,764400000,1422000000,1588400000
otherOperatingExpenses,,,,
interestExpense,-636200000,-497800000,-517300000,-542300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,604700000,-51300000,137600000,-54100000
totalRevenue,17886300000,11946000000,11500500000,11433900000
totalOperatingExpenses,14919200000,11181600000,10078500000,9845500000
costOfRevenue,10136400000,7373700000,7056300000,6861900000
totalOtherIncomeExpenseNet,-3631500000,-1485600000,-1267600000,-1290000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1269100000,-669900000,16800000,352500000
netIncomeApplicableToCommonShares,-1269100000,-669900000,16800000,352500000
