Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,29420000000,23967000000,22733000000,19623000000
minorityInterest,1410000000,1430000000,1440000000,1565000000
netIncome,22065000000,17801000000,19265000000,15528000000
sellingGeneralAdministrative,32011000000,29732000000,30523000000,26215000000
grossProfit,77312000000,77091000000,77142000000,75355000000
ebit,29095000000,30639000000,29937000000,31737000000
operatingIncome,29095000000,30639000000,29937000000,31737000000
otherOperatingExpenses,,,,
interestExpense,-3485000000,-4247000000,-4730000000,-4833000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,6802000000,5619000000,2945000000,3584000000
totalRevenue,133613000000,128292000000,131868000000,130863000000
totalOperatingExpenses,104518000000,97653000000,101931000000,99126000000
costOfRevenue,56301000000,51201000000,54726000000,55508000000
totalOtherIncomeExpenseNet,325000000,-6672000000,-7204000000,-12114000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,22618000000,18348000000,19788000000,16039000000
netIncomeApplicableToCommonShares,22065000000,17801000000,19265000000,15528000000
