Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,168358000,140777000,142955000,143403000
effectOfAccountingCharges,,,,
incomeBeforeTax,806193000,610914000,678239000,682146000
minorityInterest,,,,
netIncome,692843000,521571000,592198000,593794000
sellingGeneralAdministrative,627095000,527701000,526451000,585015000
grossProfit,1629341000,1358676000,1395896000,1427365000
ebit,826745000,679611000,716797000,691235000
operatingIncome,826745000,679611000,716797000,691235000
otherOperatingExpenses,,,,
interestExpense,-44938000,-49070000,-48690000,-48641000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,113350000,89343000,86041000,88352000
totalRevenue,2785874000,2365365000,2406596000,2419929000
totalOperatingExpenses,1959129000,1685754000,1689799000,1728694000
costOfRevenue,1156533000,1006689000,1010700000,992564000
totalOtherIncomeExpenseNet,-20552000,-68697000,-38558000,-9089000
discontinuedOperations,,,,
netIncomeFromContinuingOps,692843000,521571000,592198000,593794000
netIncomeApplicableToCommonShares,692843000,521571000,592198000,593794000
