Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,28816000000,2505000000,25967000000,28538000000
minorityInterest,2504000000,1032000000,838000000,900000000
netIncome,21548000000,3377000000,19715000000,22393000000
sellingGeneralAdministrative,48059000000,48479000000,49170000000,46321000000
grossProfit,82948000000,60243000000,84227000000,84696000000
ebit,0,0,0,0
operatingIncome,29119000000,4041000000,25967000000,28538000000
otherOperatingExpenses,5770000000,7723000000,9090000000,9837000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5578000000,-1157000000,5761000000,5662000000
totalRevenue,82948000000,60243000000,84227000000,84696000000
totalOperatingExpenses,53829000000,56202000000,58260000000,56158000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-303000000,-1536000000,0,0
discontinuedOperations,,,,
netIncomeFromContinuingOps,23238000000,3662000000,20206000000,22876000000
netIncomeApplicableToCommonShares,20256000000,1786000000,18105000000,20689000000
