Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2324000000,1447000000,1530000000,-21000000
minorityInterest,167000000,910000000,923000000,914000000
netIncome,1783000000,1075000000,1168000000,-183000000
sellingGeneralAdministrative,2034000000,1894000000,2147000000,2201000000
grossProfit,4409000000,3842000000,3511000000,3537000000
ebit,2328000000,1886000000,1295000000,1261000000
operatingIncome,2328000000,1886000000,1295000000,1261000000
otherOperatingExpenses,,,,
interestExpense,-175000000,-189000000,-187000000,-192000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,518000000,382000000,348000000,138000000
totalRevenue,21985000000,19456000000,20419000000,21037000000
totalOperatingExpenses,19657000000,17570000000,19124000000,19776000000
costOfRevenue,17576000000,15614000000,16908000000,17500000000
totalOtherIncomeExpenseNet,-4000000,-439000000,235000000,-1282000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1806000000,1065000000,1182000000,-159000000
netIncomeApplicableToCommonShares,1783000000,1075000000,1168000000,-183000000
