Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2073000000,277000000,1064000000,331000000
minorityInterest,2678000000,2814000000,3001000000,1337000000
netIncome,1517000000,211000000,850000000,-155000000
sellingGeneralAdministrative,550000000,477000000,558000000,594000000
grossProfit,5195000000,4785000000,4665000000,4335000000
ebit,2641000000,2560000000,2385000000,1954000000
operatingIncome,2641000000,2560000000,2385000000,1954000000
otherOperatingExpenses,162000000,27000000,8000000,62000000
interestExpense,-1179000000,-1172000000,-1186000000,-1112000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,511000000,79000000,335000000,138000000
totalRevenue,10775000000,7724000000,8199000000,8686000000
totalOperatingExpenses,8134000000,5164000000,5814000000,6732000000
costOfRevenue,5580000000,2939000000,3534000000,4351000000
totalOtherIncomeExpenseNet,-568000000,-2283000000,-1321000000,-1623000000
discontinuedOperations,,,-15000000.0,-15000000.0
netIncomeFromContinuingOps,1562000000,198000000,729000000,193000000
netIncomeApplicableToCommonShares,1514000000,208000000,847000000,-156000000
