Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2349000000,1893000000,2105000000,2376000000
minorityInterest,2000000,2000000,2000000,1000000
netIncome,1816000000,1496000000,1670000000,1925000000
sellingGeneralAdministrative,1864000000,1578000000,1631000000,1453000000
grossProfit,6820000000,5877000000,5975000000,5665000000
ebit,2957000000,2628000000,2770000000,2735000000
operatingIncome,2957000000,2628000000,2770000000,2735000000
otherOperatingExpenses,,,,
interestExpense,-365000000,-425000000,-411000000,-374000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,532000000,397000000,434000000,453000000
totalRevenue,17931000000,15218000000,15455000000,14914000000
totalOperatingExpenses,14974000000,12590000000,12685000000,12179000000
costOfRevenue,11111000000,9341000000,9480000000,9249000000
totalOtherIncomeExpenseNet,-608000000,-735000000,-665000000,-359000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1817000000,1496000000,1671000000,1923000000
netIncomeApplicableToCommonShares,1816000000,1496000000,1670000000,1925000000
