Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1085900000,-522600000,1144700000,1034800000
minorityInterest,21400000,18200000,16200000,17200000
netIncome,838300000,-690900000,862900000,1906100000
sellingGeneralAdministrative,1634400000,1521100000,1641000000,1451300000
grossProfit,3460100000,3189300000,3556800000,3362000000
ebit,1468600000,1267700000,1502600000,1590500000
operatingIncome,1468600000,1267700000,1502600000,1590500000
otherOperatingExpenses,,,,
interestExpense,-418900000,-465500000,-489400000,-352800000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,243400000,163500000,276800000,-874500000
totalRevenue,18746100000,17578800000,18289000000,16285100000
totalOperatingExpenses,17277500000,16311100000,16786400000,14694600000
costOfRevenue,15286000000,14389500000,14732200000,12923100000
totalOtherIncomeExpenseNet,-382700000,-1790300000,-357900000,-555700000
discontinuedOperations,,,,
netIncomeFromContinuingOps,842500000,-686100000,867900000,1909300000
netIncomeApplicableToCommonShares,838100000,-691000000,862800000,1905900000
