Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,52800000,46900000,38900000,40300000
effectOfAccountingCharges,,,,
incomeBeforeTax,769000000,418700000,300700000,248300000
minorityInterest,,,,
netIncome,661800000,346200000,241700000,206900000
sellingGeneralAdministrative,359000000,300800000,272800000,256200000
grossProfit,1175800000,767800000,605700000,545400000
ebit,764000000,420100000,296000000,250900000
operatingIncome,764000000,420100000,296000000,250900000
otherOperatingExpenses,,,-2000000.0,-2000000.0
interestExpense,-8200000,-8200000,-8500000,-8400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,107200000,72500000,59000000,41400000
totalRevenue,2831600000,2146900000,1839900000,1717400000
totalOperatingExpenses,2067600000,1726800000,1543900000,1466500000
costOfRevenue,1655800000,1379100000,1234200000,1172000000
totalOtherIncomeExpenseNet,5000000,-1400000,4700000,-2600000
discontinuedOperations,,,,
netIncomeFromContinuingOps,661800000,346200000,241700000,206900000
netIncomeApplicableToCommonShares,661800000,346200000,241700000,206900000
