Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3316000000,982000000,-213000000,807000000
minorityInterest,,,,
netIncome,2607000000,797000000,-76000000,748000000
sellingGeneralAdministrative,510000000,467000000,948000000,678000000
grossProfit,4098000000,2085000000,1142000000,1884000000
ebit,3541000000,1578000000,160000000,1146000000
operatingIncome,3541000000,1578000000,160000000,1146000000
otherOperatingExpenses,47000000,40000000,34000000,60000000
interestExpense,-313000000,-443000000,-378000000,-375000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,709000000,185000000,-137000000,59000000
totalRevenue,10201000000,7532000000,6554000000,7476000000
totalOperatingExpenses,6660000000,5954000000,6394000000,6330000000
costOfRevenue,6103000000,5447000000,5412000000,5592000000
totalOtherIncomeExpenseNet,-225000000,-596000000,-373000000,-339000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2607000000,797000000,-76000000,748000000
netIncomeApplicableToCommonShares,2607000000,797000000,-76000000,748000000
