Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,171000000,123000000,143000000,161000000
effectOfAccountingCharges,,,,
incomeBeforeTax,559000000,-60000000,345000000,-958000000
minorityInterest,1000000,3000000,2000000,11900000
netIncome,421000000,-83000000,263000000,-1011000000
sellingGeneralAdministrative,1547000000,1303000000,1571000000,1550000000
grossProfit,2358000000,1701000000,2190000000,2089000000
ebit,640000000,271000000,476000000,336000000
operatingIncome,640000000,271000000,476000000,336000000
otherOperatingExpenses,,4000000.0,4000000.0,41000000.0
interestExpense,-55000000,-47000000,-28000000,-37000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,138000000,23000000,82000000,53000000
totalRevenue,4251000000,3342000000,4029000000,3986000000
totalOperatingExpenses,3611000000,3071000000,3553000000,3650000000
costOfRevenue,1893000000,1641000000,1839000000,1897000000
totalOtherIncomeExpenseNet,-81000000,-331000000,-131000000,-1294000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,421000000,-83000000,263000000,-1011000000
netIncomeApplicableToCommonShares,421000000,-83000000,263000000,-1011000000
