Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,204000000,187000000,191000000,189000000
effectOfAccountingCharges,,,,
incomeBeforeTax,511000000,285000000,416000000,585000000
minorityInterest,8000000,8000000,10000000,14000000
netIncome,427000000,254000000,401000000,549000000
sellingGeneralAdministrative,1193000000,1158000000,1165000000,1150000000
grossProfit,1979000000,1836000000,2046000000,2026000000
ebit,582000000,491000000,690000000,687000000
operatingIncome,582000000,491000000,690000000,687000000
otherOperatingExpenses,,,,
interestExpense,-76000000,-77000000,-67000000,-82000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,84000000,31000000,15000000,36000000
totalRevenue,5195000000,4876000000,5249000000,5207000000
totalOperatingExpenses,4613000000,4385000000,4559000000,4520000000
costOfRevenue,3216000000,3040000000,3203000000,3181000000
totalOtherIncomeExpenseNet,-71000000,-206000000,-274000000,-102000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,427000000,254000000,401000000,549000000
netIncomeApplicableToCommonShares,427000000,254000000,401000000,549000000
