Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,497200000,372000000,449300000,391700000
effectOfAccountingCharges,,,,
incomeBeforeTax,418400000,-274400000,905800000,-271100000
minorityInterest,5700000,5200000,4700000,4800000
netIncome,401600000,-138900000,1131600000,-379200000
sellingGeneralAdministrative,3103600000,2988600000,3278600000,3372400000
grossProfit,5537000000,4950400000,5783500000,5661000000
ebit,1320500000,992200000,1471300000,1301000000
operatingIncome,1320500000,992200000,1471300000,1301000000
otherOperatingExpenses,,,,
interestExpense,-208400000,-212000000,-226900000,-289300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,16300000,-137000000,-225700000,108200000
totalRevenue,7836200000,7024500000,7982200000,7932900000
totalOperatingExpenses,6515700000,6032300000,6510900000,6631900000
costOfRevenue,2299200000,2074100000,2198700000,2271900000
totalOtherIncomeExpenseNet,-902100000,-1266600000,-565500000,-1572100000
discontinuedOperations,,,,
netIncomeFromContinuingOps,402100000,-137400000,1131500000,-379300000
netIncomeApplicableToCommonShares,401600000,-138900000,1131600000,-379200000
