Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,567000000,453000000,447000000,444000000
effectOfAccountingCharges,,,,
incomeBeforeTax,968000000,560000000,598000000,524000000
minorityInterest,,,,
netIncome,837000000,504000000,544000000,421000000
sellingGeneralAdministrative,935000000,787000000,826000000,798000000
grossProfit,2628000000,2003000000,2100000000,1981000000
ebit,1011000000,685000000,724000000,642000000
operatingIncome,1011000000,685000000,724000000,642000000
otherOperatingExpenses,,,,
interestExpense,-5000000,-76000000,-86000000,-90000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,131000000,56000000,54000000,103000000
totalRevenue,5627000000,4448000000,4485000000,4218000000
totalOperatingExpenses,4616000000,3763000000,3761000000,3576000000
costOfRevenue,2999000000,2445000000,2385000000,2237000000
totalOtherIncomeExpenseNet,-43000000,-125000000,-126000000,-118000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,837000000,504000000,544000000,421000000
netIncomeApplicableToCommonShares,837000000,504000000,544000000,421000000
