Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,508000000,463000000,457000000,432000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2488000000,1996000000,1801000000,1690000000
minorityInterest,1000000,4000000,4000000,4000000
netIncome,2037000000,1638000000,1500000000,1428000000
sellingGeneralAdministrative,2001000000,1713000000,1636000000,1482000000
grossProfit,5481000000,4637000000,4345000000,3922000000
ebit,2811000000,2301000000,2097000000,1891000000
operatingIncome,2811000000,2301000000,2097000000,1891000000
otherOperatingExpenses,,,,
interestExpense,-224000000,-231000000,-223000000,-206000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,454000000,360000000,301000000,266000000
totalRevenue,7776000000,6675000000,6260000000,5825000000
totalOperatingExpenses,4965000000,4374000000,4163000000,3934000000
costOfRevenue,2295000000,2038000000,1915000000,1903000000
totalOtherIncomeExpenseNet,-323000000,-305000000,-296000000,-201000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2034000000,1636000000,1500000000,1424000000
netIncomeApplicableToCommonShares,2037000000,1638000000,1500000000,1428000000
