Ticker,Company,Sector,# Employees
WMT,Walmart Inc.,Retail Trade,"        2,300,000"
AMZN,"Amazon.com, Inc.",Retail Trade,"        1,298,000"
ACN,Accenture plc,Technology Services,"           624,000"
UPS,"United Parcel Service, Inc.",Transportation,"           543,000"
HD,"Home Depot, Inc. (The)",Retail Trade,"           504,800"
KR,Kroger Company (The),Retail Trade,"           465,000"
TGT,Target Corporation,Retail Trade,"           409,000"
SBUX,Starbucks Corporation,Consumer Services,"           383,000"
IBM,International Business Machines Corporation,Technology Services,"           375,300"
BRK.B,Berkshire Hathaway Inc. New,Finance,"           360,000"
LOW,"Lowe’s Companies, Inc.",Retail Trade,"           340,000"
UNH,UnitedHealth Group Incorporated,Health Services,"           330,000"
TJX,"TJX Companies, Inc. (The)",Retail Trade,"           320,000"
WBA,"Walgreens Boots Alliance, Inc.",Retail Trade,"           315,000"
CVS,CVS Health Corporation,Retail Trade,"           300,000"
PEP,"PepsiCo, Inc.",Consumer Non-Durables,"           291,000"
CTSH,Cognizant Technology Solutions Corporation,Technology Services,"           289,500"
FDX,FedEx Corporation,Transportation,"           289,000"
COST,Costco Wholesale Corporation,Retail Trade,"           288,000"
HCA,"HCA Healthcare, Inc.",Health Services,"           275,000"
WFC,Wells Fargo & Company,Finance,"           268,531"
JPM,JP Morgan Chase & Co.,Finance,"           255,351"
T,AT&T Inc.,Communications,"           230,000"
BAC,Bank of America Corporation,Finance,"           213,000"
C,"Citigroup, Inc.",Finance,"           210,000"
MCD,McDonald’s Corporation,Consumer Services,"           200,000"
DLTR,"Dollar Tree, Inc.",Retail Trade,"           199,327"
DIS,Walt Disney Company (The),Consumer Services,"           190,000"
F,Ford Motor Company,Consumer Durables,"           186,000"
MSFT,Microsoft Corporation,Technology Services,"           181,000"
RTX,Raytheon Technologies Corporation,Electronic Technology,"           181,000"
GE,General Electric Company,Producer Manufacturing,"           174,000"
CMCSA,Comcast Corporation,Consumer Services,"           168,000"
RHI,Robert Half International Inc.,Commercial Services,"           163,500"
DG,Dollar General Corporation,Retail Trade,"           158,000"
DRI,"Darden Restaurants, Inc.",Consumer Services,"           156,883"
GM,General Motors Company,Consumer Durables,"           155,000"
AAPL,Apple Inc.,Electronic Technology,"           154,000"
APTV,Aptiv PLC,Producer Manufacturing,"           151,000"
BA,Boeing Company (The),Electronic Technology,"           141,000"
HLT,Hilton Worldwide Holdings Inc.,Consumer Services,"           141,000"
TSN,"Tyson Foods, Inc.",Consumer Non-Durables,"           137,000"
GOOG,Alphabet Inc.,Technology Services,"           135,301"
GOOGL,Alphabet Inc.,Technology Services,"           135,301"
JNJ,Johnson & Johnson,Health Technology,"           134,500"
DXC,DXC Technology Company,Technology Services,"           134,000"
VZ,Verizon Communications Inc.,Communications,"           132,200"
ORCL,Oracle Corporation,Technology Services,"           132,000"
MAR,Marriott International,Consumer Services,"           121,000"
GPS,"Gap, Inc. (The)",Retail Trade,"           117,000"
LMT,Lockheed Martin Corporation,Electronic Technology,"           114,000"
INTC,Intel Corporation,Electronic Technology,"           110,600"
ABT,Abbott Laboratories,Health Technology,"           109,000"
HON,Honeywell International Inc.,Producer Manufacturing,"           103,000"
AAL,"American Airlines Group, Inc.",Transportation,"           102,700"
BBY,"Best Buy Co., Inc.",Retail Trade,"           102,000"
JCI,Johnson Controls International plc,Producer Manufacturing,"           101,000"
PG,Procter & Gamble Company (The),Consumer Non-Durables,"           101,000"
GD,General Dynamics Corporation,Electronic Technology,"           100,700"
AZO,"AutoZone, Inc.",Retail Trade,"           100,000"
CBRE,CBRE Group Inc,Finance,"           100,000"
CAT,"Caterpillar, Inc.",Producer Manufacturing,"              97,300"
NOC,Northrop Grumman Corporation,Electronic Technology,"              97,000"
CHTR,"Charter Communications, Inc.",Consumer Services,"              96,100"
MMM,3M Company,Producer Manufacturing,"              94,987"
ROST,"Ross Stores, Inc.",Retail Trade,"              93,700"
BBWI,"Bath & Body Works, Inc.",Retail Trade,"              92,300"
ETN,"Eaton Corporation, PLC",Producer Manufacturing,"              91,987"
MDT,Medtronic plc.,Health Technology,"              90,000"
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,Electronic Technology,"              89,000"
UHS,"Universal Health Services, Inc.",Health Services,"              89,000"
CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,"              88,000"
EMR,Emerson Electric Company,Producer Manufacturing,"              86,700"
SLB,Schlumberger N.V.,Industrial Services,"              86,000"
RCL,D/B/A Royal Caribbean Cruises Ltd.,Consumer Services,"              85,000"
ANTM,"Anthem, Inc.",Health Services,"              83,400"
KO,Coca-Cola Company (The),Consumer Non-Durables,"              80,300"
APH,Amphenol Corporation,Electronic Technology,"              80,000"
TMO,Thermo Fisher Scientific Inc,Health Technology,"              80,000"
CSCO,"Cisco Systems, Inc.",Technology Services,"              79,500"
MDLZ,"Mondelez International, Inc.",Consumer Non-Durables,"              79,000"
PFE,"Pfizer, Inc.",Health Technology,"              78,500"
WHR,Whirlpool Corporation,Consumer Durables,"              78,000"
ORLY,"O’Reilly Automotive, Inc.",Retail Trade,"              77,827"
MMC,"Marsh & McLennan Companies, Inc.",Finance,"              76,000"
MCK,McKesson Corporation,Distribution Services,"              76,000"
DE,Deere & Company,Producer Manufacturing,"              75,600"
